subject,predicate,object,label,file path
ELMo vectors,with,output dimension size,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
output dimension size,of,"1,024",hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
ELMo vectors,trained on,dataset,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
dataset,of,5.5 B tokens,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
Hyperparameters,For,each of scaffold tasks,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
each of scaffold tasks,use,single - layer MLP,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
single - layer MLP,between,hidden and input layers,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
hidden and input layers,with,20 hidden nodes,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
hidden and input layers,with,ReLU activation,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
hidden and input layers,with,Dropout rate,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
Dropout rate,of,0.2,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
Hyperparameters,implement,proposed scaffold framework,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
proposed scaffold framework,using,AllenNLP library,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
Hyperparameters,has,Batch size,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
Batch size,is,8,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
8,for,ACL - ARC dataset,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
Batch size,is,32,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
32,for,SciCite dataset,hyperparameters,/content/training-data/sentence_classification/0/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/sentence_classification/0/triples/model.txt
Model,propose,two auxiliary tasks,model,/content/training-data/sentence_classification/0/triples/model.txt
two auxiliary tasks,as,structural scaffolds,model,/content/training-data/sentence_classification/0/triples/model.txt
structural scaffolds,to improve,citation intent prediction,model,/content/training-data/sentence_classification/0/triples/model.txt
Model,propose,neural multitask learning framework,model,/content/training-data/sentence_classification/0/triples/model.txt
neural multitask learning framework,to incorporate,knowledge,model,/content/training-data/sentence_classification/0/triples/model.txt
knowledge,into,citations,model,/content/training-data/sentence_classification/0/triples/model.txt
citations,from,structure of scientific papers,model,/content/training-data/sentence_classification/0/triples/model.txt
Model,propose,neural scaffold framework,model,/content/training-data/sentence_classification/0/triples/model.txt
neural scaffold framework,for,citation intent classification,model,/content/training-data/sentence_classification/0/triples/model.txt
citation intent classification,to incorporate into,citations,model,/content/training-data/sentence_classification/0/triples/model.txt
citations,has,knowledge,model,/content/training-data/sentence_classification/0/triples/model.txt
knowledge,from,structure of scientific papers,model,/content/training-data/sentence_classification/0/triples/model.txt
Model,On,two datasets,model,/content/training-data/sentence_classification/0/triples/model.txt
two datasets,show that,proposed neural scaffold model,model,/content/training-data/sentence_classification/0/triples/model.txt
proposed neural scaffold model,by,large margins,model,/content/training-data/sentence_classification/0/triples/model.txt
proposed neural scaffold model,outperforms,existing methods,model,/content/training-data/sentence_classification/0/triples/model.txt
Contribution,has research problem,Citation Intent Classification in Scientific Publications,research-problem,/content/training-data/sentence_classification/0/triples/research-problem.txt
Contribution,has research problem,Identifying the intent of a citation in scientific papers,research-problem,/content/training-data/sentence_classification/0/triples/research-problem.txt
Contribution,has research problem,citation intent classification,research-problem,/content/training-data/sentence_classification/0/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,note,scaffold tasks,results,/content/training-data/sentence_classification/0/triples/results.txt
scaffold tasks,provide,major contributions,results,/content/training-data/sentence_classification/0/triples/results.txt
major contributions,on top of,ELMo - enabled baseline ( ?= 13.6 ,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,Starting with,BiLSTM - Attn,results,/content/training-data/sentence_classification/0/triples/results.txt
BiLSTM - Attn,with,macro F1 score,results,/content/training-data/sentence_classification/0/triples/results.txt
macro F1 score,of,51.8,results,/content/training-data/sentence_classification/0/triples/results.txt
BiLSTM - Attn,adding,first scaffold task in ' BiLSTM - Attn + section title scaffold ',results,/content/training-data/sentence_classification/0/triples/results.txt
first scaffold task in ' BiLSTM - Attn + section title scaffold ',improves,F1 score,results,/content/training-data/sentence_classification/0/triples/results.txt
F1 score,to,56.9 (?= 5.1 ,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,Adding,both scaffolds,results,/content/training-data/sentence_classification/0/triples/results.txt
both scaffolds,results in,further improvements,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,Adding,second scaffold,results,/content/training-data/sentence_classification/0/triples/results.txt
second scaffold,in,BiLSTM - Attn + citation worthiness scaffold,results,/content/training-data/sentence_classification/0/triples/results.txt
BiLSTM - Attn + citation worthiness scaffold,results in,similar improvements,results,/content/training-data/sentence_classification/0/triples/results.txt
similar improvements,has,56.3 (?= 4.5 ,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,has,Each scaffold task,results,/content/training-data/sentence_classification/0/triples/results.txt
Each scaffold task,improves,model performance,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,has,both scaffolds,results,/content/training-data/sentence_classification/0/triples/results.txt
both scaffolds,used simultaneously in,BiLSTM - Attn + both scaffolds,results,/content/training-data/sentence_classification/0/triples/results.txt
both scaffolds,has,F1 score,results,/content/training-data/sentence_classification/0/triples/results.txt
F1 score,improves to,63.1 ( ?= 11.3 ,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,has,best results,results,/content/training-data/sentence_classification/0/triples/results.txt
best results,add,ELMo vectors,results,/content/training-data/sentence_classification/0/triples/results.txt
ELMo vectors,achieving,F1,results,/content/training-data/sentence_classification/0/triples/results.txt
F1,of,67.9,results,/content/training-data/sentence_classification/0/triples/results.txt
67.9,has,major improvement,results,/content/training-data/sentence_classification/0/triples/results.txt
major improvement,from,previous state - of - the - art results,results,/content/training-data/sentence_classification/0/triples/results.txt
previous state - of - the - art results,of,54.6 ( ?= 13.3 ,results,/content/training-data/sentence_classification/0/triples/results.txt
ELMo vectors,to,input representations,results,/content/training-data/sentence_classification/0/triples/results.txt
input representations,in,BiLSTM - Attn w / ELMo + both scaffolds,results,/content/training-data/sentence_classification/0/triples/results.txt
best results,by using,ELMo representation,results,/content/training-data/sentence_classification/0/triples/results.txt
ELMo representation,in addition to,both scaffolds,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,experimented with,adding features,results,/content/training-data/sentence_classification/0/triples/results.txt
adding features,used in,our best model,results,/content/training-data/sentence_classification/0/triples/results.txt
adding features,observed,at least 1.7 % decline,results,/content/training-data/sentence_classification/0/triples/results.txt
at least 1.7 % decline,in,performance,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,observe,scaffold - enhanced models,results,/content/training-data/sentence_classification/0/triples/results.txt
scaffold - enhanced models,achieve,clear improvements,results,/content/training-data/sentence_classification/0/triples/results.txt
clear improvements,over,state - of - the - art approach,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,observe,results,results,/content/training-data/sentence_classification/0/triples/results.txt
results,on,categories,results,/content/training-data/sentence_classification/0/triples/results.txt
categories,with,more number of instances,results,/content/training-data/sentence_classification/0/triples/results.txt
more number of instances,are,higher,results,/content/training-data/sentence_classification/0/triples/results.txt
Results,on,ACL - ARC,results,/content/training-data/sentence_classification/0/triples/results.txt
ACL - ARC,has,results,results,/content/training-data/sentence_classification/0/triples/results.txt
results,on,BACKGROUND category,results,/content/training-data/sentence_classification/0/triples/results.txt
BACKGROUND category,are,highest,results,/content/training-data/sentence_classification/0/triples/results.txt
highest,as,category,results,/content/training-data/sentence_classification/0/triples/results.txt
category,is,most common,results,/content/training-data/sentence_classification/0/triples/results.txt
results,on,FUTUREWORK category,results,/content/training-data/sentence_classification/0/triples/results.txt
FUTUREWORK category,are,lowest,results,/content/training-data/sentence_classification/0/triples/results.txt
FUTUREWORK category,has,fewest data points,results,/content/training-data/sentence_classification/0/triples/results.txt
fewest data points,thus,harder,results,/content/training-data/sentence_classification/0/triples/results.txt
harder,for,model,results,/content/training-data/sentence_classification/0/triples/results.txt
model,to learn,optimal parameters,results,/content/training-data/sentence_classification/0/triples/results.txt
optimal parameters,for,correct classification,results,/content/training-data/sentence_classification/0/triples/results.txt
Contribution,has,Approach,approach,/content/training-data/sentence_classification/2/triples/approach.txt
Approach,has,MCFA,approach,/content/training-data/sentence_classification/2/triples/approach.txt
MCFA,computes,two sentence usability metrics,approach,/content/training-data/sentence_classification/2/triples/approach.txt
two sentence usability metrics,to control,noise when fixing vectors,approach,/content/training-data/sentence_classification/2/triples/approach.txt
two sentence usability metrics,has,relative usability,approach,/content/training-data/sentence_classification/2/triples/approach.txt
relative usability,weighs,confidence of,approach,/content/training-data/sentence_classification/2/triples/approach.txt
confidence of,using,sentence a,approach,/content/training-data/sentence_classification/2/triples/approach.txt
sentence a,fixing,sentence b,approach,/content/training-data/sentence_classification/2/triples/approach.txt
two sentence usability metrics,has,self usability,approach,/content/training-data/sentence_classification/2/triples/approach.txt
self usability,weighs,confidence,approach,/content/training-data/sentence_classification/2/triples/approach.txt
confidence,of using,sentence a,approach,/content/training-data/sentence_classification/2/triples/approach.txt
sentence a,in solving,task,approach,/content/training-data/sentence_classification/2/triples/approach.txt
MCFA,moves,vectors,approach,/content/training-data/sentence_classification/2/triples/approach.txt
vectors,preserves,meaning,approach,/content/training-data/sentence_classification/2/triples/approach.txt
meaning,of,vector dimensions,approach,/content/training-data/sentence_classification/2/triples/approach.txt
vectors,inside,same space,approach,/content/training-data/sentence_classification/2/triples/approach.txt
MCFA,is,series of modules,approach,/content/training-data/sentence_classification/2/triples/approach.txt
series of modules,uses,all the sentence vectors,approach,/content/training-data/sentence_classification/2/triples/approach.txt
all the sentence vectors,as,context,approach,/content/training-data/sentence_classification/2/triples/approach.txt
all the sentence vectors,to fix,a sentence vector,approach,/content/training-data/sentence_classification/2/triples/approach.txt
MCFA,attached after,encoding the sentence,approach,/content/training-data/sentence_classification/2/triples/approach.txt
encoding the sentence,makes it widely adaptable,to other models,approach,/content/training-data/sentence_classification/2/triples/approach.txt
Approach,present,neural attentionbased multiple context fixing attachment ( MCFA ,approach,/content/training-data/sentence_classification/2/triples/approach.txt
Approach,propose,method,approach,/content/training-data/sentence_classification/2/triples/approach.txt
method,to mitigate,possible problems,approach,/content/training-data/sentence_classification/2/triples/approach.txt
possible problems,when using,translated sentences,approach,/content/training-data/sentence_classification/2/triples/approach.txt
translated sentences,as,context,approach,/content/training-data/sentence_classification/2/triples/approach.txt
Approach,propose,usage of translations,approach,/content/training-data/sentence_classification/2/triples/approach.txt
usage of translations,as,compelling and effective domain - free contexts,approach,/content/training-data/sentence_classification/2/triples/approach.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,experiment on using,only one additional context ( N = 1 ,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,experiment on using,all ten languages at once ( N = 10 ,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,use,dropout,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
dropout,with,dropout rate,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
dropout rate,of,0.5,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
dropout,on,all nonlinear connections,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,use,FastText pre-trained vectors,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
FastText pre-trained vectors,for,all our data sets,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,use,l 2 constraint,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
l 2 constraint,of,3,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,For,our CNN,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
our CNN,use,rectified linear units,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
our CNN,use,three filters,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
three filters,with,"different window sizes h = 3 , 4 , 5",hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
"different window sizes h = 3 , 4 , 5",with,100 feature maps each,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,For,final sentence vector,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
final sentence vector,concatenate,feature maps,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
feature maps,to get,300 - dimension vector,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,perform,early stopping,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
early stopping,using,random 10 %,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
random 10 %,as,development set,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
random 10 %,of,training set,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,has,Training,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Training,done via,stochastic gradient descent,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
stochastic gradient descent,over,shuffled mini-batches,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
shuffled mini-batches,with,Adadelta update rule,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,has,Tokenization,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Tokenization,done using,polyglot library,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Hyperparameters,During,training,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
training,use,mini-batch size,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
mini-batch size,of,50,hyperparameters,/content/training-data/sentence_classification/2/triples/hyperparameters.txt
Contribution,has research problem,Sentence Classification,research-problem,/content/training-data/sentence_classification/2/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/sentence_classification/2/triples/results.txt
Results,using,single context,results,/content/training-data/sentence_classification/2/triples/results.txt
single context,has,translations,results,/content/training-data/sentence_classification/2/triples/results.txt
translations,always outperform,topics,results,/content/training-data/sentence_classification/2/triples/results.txt
Results,When,N = 1,results,/content/training-data/sentence_classification/2/triples/results.txt
N = 1,has,MCFA,results,/content/training-data/sentence_classification/2/triples/results.txt
MCFA,increases,performance,results,/content/training-data/sentence_classification/2/triples/results.txt
performance,of,normal CNN,results,/content/training-data/sentence_classification/2/triples/results.txt
normal CNN,beating,current state of the art,results,/content/training-data/sentence_classification/2/triples/results.txt
current state of the art,on,CR data set,results,/content/training-data/sentence_classification/2/triples/results.txt
normal CNN,from,85.0,results,/content/training-data/sentence_classification/2/triples/results.txt
85.0,to,87.6,results,/content/training-data/sentence_classification/2/triples/results.txt
Results,When,N = 10,results,/content/training-data/sentence_classification/2/triples/results.txt
N = 10,has,MCFA,results,/content/training-data/sentence_classification/2/triples/results.txt
MCFA,additionally beats,state of the art,results,/content/training-data/sentence_classification/2/triples/results.txt
state of the art,on,TREC data set,results,/content/training-data/sentence_classification/2/triples/results.txt
Results,Using,topics,results,/content/training-data/sentence_classification/2/triples/results.txt
topics,as,additional context,results,/content/training-data/sentence_classification/2/triples/results.txt
topics,decreases,performance,results,/content/training-data/sentence_classification/2/triples/results.txt
performance,of,CNN classifier,results,/content/training-data/sentence_classification/2/triples/results.txt
CNN classifier,on,most data sets,results,/content/training-data/sentence_classification/2/triples/results.txt
Results,show,CNN + MCFA,results,/content/training-data/sentence_classification/2/triples/results.txt
CNN + MCFA,performs,competitively,results,/content/training-data/sentence_classification/2/triples/results.txt
competitively,on,one data set,results,/content/training-data/sentence_classification/2/triples/results.txt
CNN + MCFA,achieves,state of the art performance,results,/content/training-data/sentence_classification/2/triples/results.txt
state of the art performance,on,three of the four data sets,results,/content/training-data/sentence_classification/2/triples/results.txt
Results,has,our ensemble classifier,results,/content/training-data/sentence_classification/2/triples/results.txt
our ensemble classifier,additionally outperforms,all competing models,results,/content/training-data/sentence_classification/2/triples/results.txt
all competing models,on,MR data set,results,/content/training-data/sentence_classification/2/triples/results.txt
Results,conclude that,translations,results,/content/training-data/sentence_classification/2/triples/results.txt
translations,are,better additional contexts,results,/content/training-data/sentence_classification/2/triples/results.txt
better additional contexts,than,topics,results,/content/training-data/sentence_classification/2/triples/results.txt
Results,On,all data sets,results,/content/training-data/sentence_classification/2/triples/results.txt
all data sets,except,SUBJ,results,/content/training-data/sentence_classification/2/triples/results.txt
all data sets,has,accuracy,results,/content/training-data/sentence_classification/2/triples/results.txt
accuracy,of,CNN + B1,results,/content/training-data/sentence_classification/2/triples/results.txt
CNN + B1,decreases from,base CNN accuracy,results,/content/training-data/sentence_classification/2/triples/results.txt
Contribution,has,Ablation analysis,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
Ablation analysis,When,context enriching layer,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
context enriching layer,is,removed,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
removed,has,both models,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
both models,experience,most significant performance drop,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
both models,on par with,previous stateof - the - art results,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
Ablation analysis,has,HSLN - CNN model,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
HSLN - CNN model,suffers a little more from,component removal,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
HSLN - CNN model,than,HSLN - RNN model,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
Ablation analysis,has,dropout regularization and attention - based pooling components,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
dropout regularization and attention - based pooling components,further improve,model,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
model,in,limited extent,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
dropout regularization and attention - based pooling components,add to,our system,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
Ablation analysis,even without,label sequence optimization layer,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
label sequence optimization layer,has,our model,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
our model,significantly outperforms,best published methods,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
best published methods,empowered by,this layer,ablation-analysis,/content/training-data/sentence_classification/1/triples/ablation-analysis.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Hyperparameters,fixed during,training phase,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
training phase,to avoid,over-fitting,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Hyperparameters,For,regularization,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
regularization,has,dropout,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
dropout,applied to,each layer,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Hyperparameters,has,window sizes,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
window sizes,of,CNN encoder,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
CNN encoder,in,sentence encoding layer,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
sentence encoding layer,are,"2 , 3 , 4 and 5",hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Hyperparameters,has,learning rate,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
learning rate,initially set,0.003,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
learning rate,decayed by,0.9,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
0.9,after,each epoch,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Hyperparameters,has,token embeddings,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
token embeddings,using,word2vec tool,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
token embeddings,pre-trained on,large corpus,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
large corpus,combining,"Wikipedia , PubMed , and PMC texts",hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Hyperparameters,trained using,Adam optimization method,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Hyperparameters,adopted,dropout,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
dropout,with,expectation - linear regularization,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
expectation - linear regularization,improve,generaliza - tion performance,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
expectation - linear regularization,to explicitly control,inference gap,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Hyperparameters,optimized via,grid search,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
grid search,based on,validation set,hyperparameters,/content/training-data/sentence_classification/1/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/sentence_classification/1/triples/model.txt
Model,subsequently uses,single - hidden - layer feed - forward network,model,/content/training-data/sentence_classification/1/triples/model.txt
single - hidden - layer feed - forward network,to transform,sentence representation,model,/content/training-data/sentence_classification/1/triples/model.txt
sentence representation,to,probability vector,model,/content/training-data/sentence_classification/1/triples/model.txt
Model,optimizes,predicted label sequence jointly,model,/content/training-data/sentence_classification/1/triples/model.txt
predicted label sequence jointly,via,CRF layer,model,/content/training-data/sentence_classification/1/triples/model.txt
Model,uses,another bi - LSTM layer,model,/content/training-data/sentence_classification/1/triples/model.txt
another bi - LSTM layer,output,contextualized sentence representation,model,/content/training-data/sentence_classification/1/triples/model.txt
another bi - LSTM layer,take as input,individual sentence representation,model,/content/training-data/sentence_classification/1/triples/model.txt
Model,present,hierarchical neural network model,model,/content/training-data/sentence_classification/1/triples/model.txt
hierarchical neural network model,call,hierarchical sequential labeling network ( HSLN ,model,/content/training-data/sentence_classification/1/triples/model.txt
hierarchical neural network model,for,sequential sentence classification task,model,/content/training-data/sentence_classification/1/triples/model.txt
Model,first uses,RNN or CNN layer,model,/content/training-data/sentence_classification/1/triples/model.txt
RNN or CNN layer,to individually encode,sentence representation,model,/content/training-data/sentence_classification/1/triples/model.txt
sentence representation,from,sequence of word embeddings,model,/content/training-data/sentence_classification/1/triples/model.txt
Contribution,has research problem,Sequential Sentence Classification in Medical Scientific Abstracts,research-problem,/content/training-data/sentence_classification/1/triples/research-problem.txt
Contribution,has research problem,sequential sentence classification,research-problem,/content/training-data/sentence_classification/1/triples/research-problem.txt
Contribution,has,Baselines,baselines,/content/training-data/semantic_role_labeling/4/triples/baselines.txt
Baselines,use,BiLSTM - CRF model,baselines,/content/training-data/semantic_role_labeling/4/triples/baselines.txt
Contribution,has,Hyperparameters,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Hyperparameters,As,base function f base,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
base function f base,use,4 BiLSTM layers,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
4 BiLSTM layers,with,300 dimensional hidden units,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Hyperparameters,As,objective function,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
objective function,use,crossentropy L,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
crossentropy L,with,L2 weight decay,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Hyperparameters,To validate,model performance,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
model performance,use,two types of word embeddings,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Hyperparameters,optimize,model parameters,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
model parameters,use,Adam,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Hyperparameters,has,embeddings,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
embeddings,fixed during,training,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Hyperparameters,has,Typical word embeddings,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Typical word embeddings,has,SENNA,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Typical word embeddings,has,ELMo,hyperparameters,/content/training-data/semantic_role_labeling/4/triples/hyperparameters.txt
Contribution,has,Model,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
Model,At,decoding time,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
decoding time,greedily select,higher scoring labeled spans,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
Model,directly scores,all possible labeled spans,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
all possible labeled spans,based on,span representations,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
span representations,induced from,neural networks,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
Model,has,model parameters,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
model parameters,learned by,optimizing loglikelihood,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
optimizing loglikelihood,of,correct labeled spans,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
Model,presents,simple and accurate span - based model,model,/content/training-data/semantic_role_labeling/4/triples/model.txt
Contribution,has research problem,Semantic Role Labeling,research-problem,/content/training-data/semantic_role_labeling/4/triples/research-problem.txt
Contribution,has research problem,semantic role labeling ( SRL ,research-problem,/content/training-data/semantic_role_labeling/4/triples/research-problem.txt
Contribution,has research problem,SRL,research-problem,/content/training-data/semantic_role_labeling/4/triples/research-problem.txt
Contribution,has,Results,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
Results,In comparison with,CRF - based single model,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
CRF - based single model,has,our span - based single model,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
our span - based single model,consistently yielded,better F 1 scores,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
better F 1 scores,regardless of,"word embeddings , SENNA and ELMO",results,/content/training-data/semantic_role_labeling/4/triples/results.txt
Results,report,averaged scores,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
averaged scores,across,five different runs,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
five different runs,of,model,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
Results,has,Our single and ensemble models,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
Our single and ensemble models,achieved,best F 1 scores,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
best F 1 scores,on,all the test sets,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
all the test sets,except,Brown test set,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
Results,has,span - based ensemble model,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
span - based ensemble model,using,ELMo,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
ELMo,achieved,best F1 scores,results,/content/training-data/semantic_role_labeling/4/triples/results.txt
